Marital_Status,(All),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,
Row Labels,Andhra Pradesh,Bihar,Delhi,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Punjab,Rajasthan,Telangana,Uttar Pradesh,Uttarakhand,(blank),Grand Total
Agriculture,199735,104002,362940,104801,103204,108152,54839,328242,98350,215988,300204,17245,25416,11911,507561,50497,,2593087
Automobile,347070,198035,504202,218488,258000,240221,249804,615646,189923,345938,808135,89168,121407,120574,919419,142566,,5368596
Aviation,965382,421708,1363346,629341,512855,414027,356191,1610246,465062,970016,1756443,188058,175261,81875,2474993,217494,,12602298
Banking,792937,332587,1173722.95,314043,465328,594167,392486,1478581,420638,709430,1458255,184242,165116,127558,2019396,142124,,10770610.95
Chemical,389692,267857,597370,195377,140083,238304,140007,715536,165753,375507,744370,41019,77715,33719,1026236,148891,,5297436
Construction,212913,145959,406738,142479,153500,279700,105428,403816,122969,198439,477409,79113,49487,46709,708786,64066,,3597511
Food Processing,290094,140290,409301,230196,168402,217833,183962,508305,144997,374281,407738,43191,117414,42656,669881,122129,,4070670
Govt,735188,188038,1046650,242553,271126,400581,289030,930724,406712,935852,1130237,174669,167837,75722,1313536,208757,,8517212
Healthcare,1137621,467993,1199132.5,472470,534758,660303,281860,1640519,489434.99,956538,1974286,187083,217720,140077,2427990,246802,,13034587.49
Hospitality,428772,230371,695628,201714,186104,351032,218205,840231,249589,506497,821912,71864,232471,65377,1033277,243361,,6376405
IT Sector,1129927,620480,1778366,491794,629140,629648,365421,1896804,461605,1210742,1927967,193076,237563,151291,2682057,349198,,14755079
Lawyer,436585,192936,560142,218664,152017,197134,78606,620425,160995,328045,735309,39728,40900,55131,1072414,92634,,4981665
Media,501202.99,324824,592276,218617,338451,236374,99567,673484,199258,326534,1042920,88355,68893,67397,1274720,242960,,6295832.99
Retail,305027,283592,512994,201718,166745,216976,134036,726464,199194,347290,540664,60593,68848,65346,809959,143724,,4783170
Textile,165001,104085,401011,63827,140462,178916,77014,534517,120012,300045,301694,68396,143361,66147,434743,105741,,3204972
(blank),,,,,,,,,,,,,,,,,,
Grand Total,8037146.99,4022757,11603819.45,3946082,4220175,4963368,3026456,13523540,3894491.99,8101142,14427543,1525800,1909409,1151490,19374968,2520944,,106249132.4
